date;date1;municipality_id;municipality_name;municipality_population;vaccination_1;vaccination_2;vaccination_3;vaccination_4+
26.11.2022;2022-11-26T23:59:59+01:00;10101;Eisenstadt;15623;12164;11892;9757;3231
26.11.2022;2022-11-26T23:59:59+01:00;10201;Rust;1989;1630;1605;1355;415
26.11.2022;2022-11-26T23:59:59+01:00;10301;Breitenbrunn am Neusiedler See;1936;1549;1530;1313;507
26.11.2022;2022-11-26T23:59:59+01:00;10302;Donnerskirchen;1845;1527;1508;1304;412
26.11.2022;2022-11-26T23:59:59+01:00;10303;Großhöflein;2100;1766;1736;1428;348
26.11.2022;2022-11-26T23:59:59+01:00;10304;Hornstein;3273;2607;2562;2142;693
26.11.2022;2022-11-26T23:59:59+01:00;10305;Klingenbach;1299;906;883;742;204
26.11.2022;2022-11-26T23:59:59+01:00;10306;Leithaprodersdorf;1214;1056;1039;871;225
26.11.2022;2022-11-26T23:59:59+01:00;10307;Mörbisch am See;2209;1859;1837;1550;544
26.11.2022;2022-11-26T23:59:59+01:00;10308;Müllendorf;1467;1188;1171;965;314
26.11.2022;2022-11-26T23:59:59+01:00;10309;Neufeld an der Leitha;3643;2838;2784;2278;675
26.11.2022;2022-11-26T23:59:59+01:00;10310;Oggau am Neusiedler See;1710;1477;1462;1264;460
26.11.2022;2022-11-26T23:59:59+01:00;10311;Oslip;1311;1103;1094;935;292
26.11.2022;2022-11-26T23:59:59+01:00;10312;Purbach am Neusiedler See;2982;2431;2389;2029;617
26.11.2022;2022-11-26T23:59:59+01:00;10313;Sankt Margarethen im Burgenland;2718;2244;2215;1912;630
26.11.2022;2022-11-26T23:59:59+01:00;10314;Schützen am Gebirge;1453;1186;1168;965;337
26.11.2022;2022-11-26T23:59:59+01:00;10315;Siegendorf;3237;2515;2470;2035;597
26.11.2022;2022-11-26T23:59:59+01:00;10316;Steinbrunn;3052;2390;2351;1893;561
26.11.2022;2022-11-26T23:59:59+01:00;10317;Trausdorf an der Wulka;2117;1787;1761;1499;411
26.11.2022;2022-11-26T23:59:59+01:00;10318;Wimpassing an der Leitha;1736;1271;1248;1017;243
26.11.2022;2022-11-26T23:59:59+01:00;10319;Wulkaprodersdorf;1971;1556;1523;1240;325
26.11.2022;2022-11-26T23:59:59+01:00;10320;Loretto;521;404;394;329;99
26.11.2022;2022-11-26T23:59:59+01:00;10321;Stotzing;827;654;643;534;145
26.11.2022;2022-11-26T23:59:59+01:00;10322;Zillingtal;1010;791;783;678;193
26.11.2022;2022-11-26T23:59:59+01:00;10323;Zagersdorf;1151;939;926;782;218
26.11.2022;2022-11-26T23:59:59+01:00;10401;Bocksdorf;802;652;635;538;121
26.11.2022;2022-11-26T23:59:59+01:00;10402;Burgauberg-Neudauberg;1481;1005;980;785;223
26.11.2022;2022-11-26T23:59:59+01:00;10403;Eberau;917;720;710;614;256
26.11.2022;2022-11-26T23:59:59+01:00;10404;Gerersdorf-Sulz;1044;848;837;700;244
26.11.2022;2022-11-26T23:59:59+01:00;10405;Güssing;3617;2902;2857;2476;979
26.11.2022;2022-11-26T23:59:59+01:00;10406;Güttenbach;862;736;731;631;248
26.11.2022;2022-11-26T23:59:59+01:00;10407;Heiligenbrunn;740;591;587;514;176
26.11.2022;2022-11-26T23:59:59+01:00;10408;Kukmirn;2014;1507;1453;1219;368
26.11.2022;2022-11-26T23:59:59+01:00;10409;Neuberg im Burgenland;960;765;755;623;181
26.11.2022;2022-11-26T23:59:59+01:00;10410;Neustift bei Güssing;447;358;356;302;109
26.11.2022;2022-11-26T23:59:59+01:00;10411;Olbendorf;1486;1121;1095;881;232
26.11.2022;2022-11-26T23:59:59+01:00;10412;Ollersdorf im Burgenland;937;742;727;592;172
26.11.2022;2022-11-26T23:59:59+01:00;10413;Sankt Michael im Burgenland;1010;765;753;637;169
26.11.2022;2022-11-26T23:59:59+01:00;10414;Stegersbach;2725;2065;2012;1644;441
26.11.2022;2022-11-26T23:59:59+01:00;10415;Stinatz;1265;997;974;785;232
26.11.2022;2022-11-26T23:59:59+01:00;10416;Strem;927;753;741;637;256
26.11.2022;2022-11-26T23:59:59+01:00;10417;Tobaj;1384;1085;1063;903;252
26.11.2022;2022-11-26T23:59:59+01:00;10418;Hackerberg;374;288;281;232;72
26.11.2022;2022-11-26T23:59:59+01:00;10419;Wörterberg;535;360;355;277;89
26.11.2022;2022-11-26T23:59:59+01:00;10420;Großmürbisch;227;192;191;167;66
26.11.2022;2022-11-26T23:59:59+01:00;10421;Inzenhof;331;259;256;219;56
26.11.2022;2022-11-26T23:59:59+01:00;10422;Kleinmürbisch;230;197;193;165;45
26.11.2022;2022-11-26T23:59:59+01:00;10423;Tschanigraben;66;57;55;53;15
26.11.2022;2022-11-26T23:59:59+01:00;10424;Heugraben;222;186;181;152;26
26.11.2022;2022-11-26T23:59:59+01:00;10425;Rohr im Burgenland;360;307;304;261;69
26.11.2022;2022-11-26T23:59:59+01:00;10426;Bildein;339;267;264;220;72
26.11.2022;2022-11-26T23:59:59+01:00;10427;Rauchwart;470;368;360;285;74
26.11.2022;2022-11-26T23:59:59+01:00;10428;Moschendorf;383;296;292;260;93
26.11.2022;2022-11-26T23:59:59+01:00;10501;Deutsch Kaltenbrunn;1762;1313;1287;1065;275
26.11.2022;2022-11-26T23:59:59+01:00;10502;Eltendorf;919;701;689;561;161
26.11.2022;2022-11-26T23:59:59+01:00;10503;Heiligenkreuz im Lafnitztal;1283;955;942;765;218
26.11.2022;2022-11-26T23:59:59+01:00;10504;Jennersdorf;4152;3107;3037;2533;678
26.11.2022;2022-11-26T23:59:59+01:00;10505;Minihof-Liebau;1049;830;801;637;195
26.11.2022;2022-11-26T23:59:59+01:00;10506;Mogersdorf;1177;874;853;687;175
26.11.2022;2022-11-26T23:59:59+01:00;10507;Neuhaus am Klausenbach;933;672;663;559;144
26.11.2022;2022-11-26T23:59:59+01:00;10508;Rudersdorf;2193;1709;1675;1366;398
26.11.2022;2022-11-26T23:59:59+01:00;10509;Sankt Martin an der Raab;1957;1524;1500;1276;320
26.11.2022;2022-11-26T23:59:59+01:00;10510;Weichselbaum;708;553;546;437;89
26.11.2022;2022-11-26T23:59:59+01:00;10511;Königsdorf;768;602;585;481;131
26.11.2022;2022-11-26T23:59:59+01:00;10512;Mühlgraben;381;324;320;251;38
26.11.2022;2022-11-26T23:59:59+01:00;10601;Draßburg;1240;972;956;815;258
26.11.2022;2022-11-26T23:59:59+01:00;10602;Forchtenstein;2795;2188;2142;1793;464
26.11.2022;2022-11-26T23:59:59+01:00;10603;Hirm;1062;839;825;637;184
26.11.2022;2022-11-26T23:59:59+01:00;10604;Loipersbach im Burgenland;1212;889;869;698;185
26.11.2022;2022-11-26T23:59:59+01:00;10605;Marz;2086;1671;1640;1358;378
26.11.2022;2022-11-26T23:59:59+01:00;10606;Mattersburg;7522;5899;5781;4612;1286
26.11.2022;2022-11-26T23:59:59+01:00;10607;Neudörfl;4911;3652;3551;2781;738
26.11.2022;2022-11-26T23:59:59+01:00;10608;Pöttelsdorf;765;622;614;508;145
26.11.2022;2022-11-26T23:59:59+01:00;10609;Pöttsching;3081;2455;2405;1928;592
26.11.2022;2022-11-26T23:59:59+01:00;10610;Rohrbach bei Mattersburg;2630;2136;2106;1753;486
26.11.2022;2022-11-26T23:59:59+01:00;10611;Bad Sauerbrunn;2306;1737;1689;1362;404
26.11.2022;2022-11-26T23:59:59+01:00;10612;Schattendorf;2397;1921;1899;1605;405
26.11.2022;2022-11-26T23:59:59+01:00;10613;Sieggraben;1265;991;977;801;188
26.11.2022;2022-11-26T23:59:59+01:00;10614;Sigleß;1182;932;921;798;279
26.11.2022;2022-11-26T23:59:59+01:00;10615;Wiesen;2790;2152;2121;1823;526
26.11.2022;2022-11-26T23:59:59+01:00;10616;Antau;806;636;623;491;112
26.11.2022;2022-11-26T23:59:59+01:00;10617;Baumgarten;924;752;740;618;196
26.11.2022;2022-11-26T23:59:59+01:00;10618;Zemendorf-Stöttera;1279;1048;1030;841;215
26.11.2022;2022-11-26T23:59:59+01:00;10619;Krensdorf;642;486;477;390;124
26.11.2022;2022-11-26T23:59:59+01:00;10701;Andau;2302;1995;1969;1718;572
26.11.2022;2022-11-26T23:59:59+01:00;10702;Apetlon;1753;1445;1426;1244;318
