Datum;Datum1;BundeslandID;Bevölkerung;Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100
09.01.2021;2021-01-09T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
09.01.2021;2021-01-09T23:59:59+01:00;1;300457;Burgenland;355;0.11815334640231401;3995;1.3296411799359
09.01.2021;2021-01-09T23:59:59+01:00;2;567644;Kärnten;305;0.0537308594823516;6830;1.20321891889987
09.01.2021;2021-01-09T23:59:59+01:00;3;1713465;Niederösterreich;9042;0.527702637637769;20070;1.17131076502876
09.01.2021;2021-01-09T23:59:59+01:00;4;1517477;Oberösterreich;520;0.0342674057003829;21395;1.40990604799941
09.01.2021;2021-01-09T23:59:59+01:00;5;566751;Salzburg;1660;0.292897586418021;7140;1.2598125102558302
09.01.2021;2021-01-09T23:59:59+01:00;6;1260417;Steiermark;3200;0.253884230377724;17805;1.41262772558606
09.01.2021;2021-01-09T23:59:59+01:00;7;768443;Tirol;540;0.0702719655198889;9665;1.25773804953653
09.01.2021;2021-01-09T23:59:59+01:00;8;404415;Vorarlberg;5220;1.29075331033715;9210;2.27736359927302
09.01.2021;2021-01-09T23:59:59+01:00;9;1962779;Wien;4295;0.21882239416663798;15285;0.7787427927443691
09.01.2021;2021-01-09T23:59:59+01:00;10;9061848;Österreich;25137;0.277393750148976;110710;1.2217154823166299
10.01.2021;2021-01-10T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
10.01.2021;2021-01-10T23:59:59+01:00;1;300457;Burgenland;355;0.11815334640231401;3995;1.3296411799359
10.01.2021;2021-01-10T23:59:59+01:00;2;567644;Kärnten;305;0.0537308594823516;6830;1.20321891889987
10.01.2021;2021-01-10T23:59:59+01:00;3;1713465;Niederösterreich;9042;0.527702637637769;20160;1.1765632796701397
10.01.2021;2021-01-10T23:59:59+01:00;4;1517477;Oberösterreich;520;0.0342674057003829;21395;1.40990604799941
10.01.2021;2021-01-10T23:59:59+01:00;5;566751;Salzburg;1660;0.292897586418021;7140;1.2598125102558302
10.01.2021;2021-01-10T23:59:59+01:00;6;1260417;Steiermark;3200;0.253884230377724;18775;1.4895863829193
